Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.894139,0.954429,0.894139,0.912101,625.13,4.77,0.00
2,0.914290,0.958871,0.914290,0.927269,605.93,4.77,0.00
3,0.971168,0.978862,0.971168,0.973161,618.50,4.77,0.00
4,0.982163,0.985433,0.982163,0.982978,608.65,4.77,0.00
5,0.998868,0.998875,0.998868,0.998870,607.64,4.77,0.00
6,0.999707,0.999707,0.999707,0.999707,609.29,4.77,0.00
7,0.999784,0.999784,0.999784,0.999784,624.16,4.77,0.00
8,0.999150,0.999150,0.999150,0.999148,606.65,4.77,0.00
9,0.999818,0.999818,0.999818,0.999818,603.99,4.77,0.00
10,0.998911,0.998924,0.998911,0.998914,607.77,4.77,0.00
11,0.994280,0.994660,0.994280,0.994370,618.72,4.77,0.00
12,0.992246,0.992930,0.992246,0.992410,604.13,4.77,0.00
13,0.999049,0.999049,0.999049,0.999046,606.14,4.77,0.00
14,0.999835,0.999835,0.999835,0.999835,600.51,4.77,0.00
15,0.999700,0.999701,0.999700,0.999700,614.04,4.77,0.00
16,0.999800,0.999800,0.999800,0.999800,598.15,4.77,0.00
17,0.999805,0.999805,0.999805,0.999805,603.80,4.77,0.00
18,0.999877,0.999877,0.999877,0.999877,607.13,4.77,0.00
19,0.999746,0.999746,0.999746,0.999745,623.66,4.77,0.00
20,0.999834,0.999834,0.999834,0.999834,606.99,4.77,0.00
21,0.998734,0.998751,0.998734,0.998738,603.85,4.77,0.00
22,0.999851,0.999851,0.999851,0.999851,606.41,4.77,0.00
23,0.999805,0.999805,0.999805,0.999805,616.64,4.77,0.00
24,0.999876,0.999876,0.999876,0.999876,606.80,4.77,0.00
25,0.999778,0.999778,0.999778,0.999778,610.86,4.77,0.00
26,0.999799,0.999799,0.999799,0.999799,608.67,4.77,0.00
27,0.999856,0.999856,0.999856,0.999856,622.88,4.77,0.00
28,0.999864,0.999864,0.999864,0.999864,605.80,4.77,0.00
29,0.992617,0.993234,0.992617,0.992765,602.75,4.77,0.00
30,0.999862,0.999863,0.999862,0.999862,607.30,4.77,0.00
