Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.967287,0.970624,0.967287,0.968484,614.91,2.74,0.00
2,0.993871,0.993889,0.993871,0.993879,598.63,2.74,0.00
3,0.994549,0.994580,0.994549,0.994461,600.11,2.74,0.00
4,0.997674,0.997675,0.997674,0.997660,596.72,2.74,0.00
5,0.993446,0.993405,0.993446,0.993363,614.72,2.74,0.00
6,0.998365,0.998366,0.998365,0.998358,595.99,2.74,0.00
7,0.998038,0.998042,0.998038,0.998027,595.92,2.74,0.00
8,0.998551,0.998551,0.998551,0.998545,593.43,2.74,0.00
9,0.999691,0.999691,0.999691,0.999691,607.86,2.74,0.00
10,0.997557,0.997563,0.997557,0.997540,597.83,2.74,0.00
11,0.999668,0.999668,0.999668,0.999668,600.51,2.74,0.00
12,0.997784,0.997788,0.997784,0.997770,598.81,2.74,0.00
13,0.999583,0.999583,0.999583,0.999582,610.66,2.74,0.00
14,0.999101,0.999101,0.999101,0.999099,597.19,2.74,0.00
15,0.999517,0.999517,0.999517,0.999517,595.54,2.74,0.00
16,0.999471,0.999471,0.999471,0.999471,597.87,2.74,0.00
17,0.999414,0.999414,0.999414,0.999413,616.75,2.74,0.00
18,0.997889,0.997892,0.997889,0.997877,598.88,2.74,0.00
19,0.999554,0.999555,0.999554,0.999554,591.77,2.74,0.00
20,0.999457,0.999457,0.999457,0.999457,593.45,2.74,0.00
21,0.999315,0.999318,0.999315,0.999316,610.70,2.74,0.00
22,0.998472,0.998471,0.998472,0.998466,592.68,2.74,0.00
23,0.997343,0.997417,0.997343,0.997362,593.58,2.74,0.00
24,0.998503,0.998504,0.998503,0.998497,598.30,2.74,0.00
25,0.997979,0.997982,0.997979,0.997967,617.37,2.74,0.00
26,0.999242,0.999241,0.999242,0.999240,597.42,2.74,0.00
27,0.997612,0.997615,0.997612,0.997597,599.62,2.74,0.00
28,0.998906,0.998906,0.998906,0.998903,597.52,2.74,0.00
29,0.998180,0.998181,0.998180,0.998172,610.60,2.74,0.00
30,0.998516,0.998514,0.998516,0.998512,594.36,2.74,0.00
