Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.911962,0.877281,0.911962,0.889223,713.72,28.77,0.00
2,0.970212,0.973806,0.970212,0.971417,712.42,28.77,0.00
3,0.977716,0.982250,0.977716,0.978895,739.78,28.77,0.00
4,0.980173,0.981590,0.980173,0.980657,712.88,28.77,0.00
5,0.988418,0.989151,0.988418,0.988640,698.52,28.77,0.00
6,0.992827,0.993383,0.992827,0.992962,714.66,28.77,0.00
7,0.995343,0.995588,0.995343,0.995402,701.38,28.77,0.00
8,0.981843,0.981486,0.981843,0.981599,696.19,28.77,0.00
9,0.994878,0.995177,0.994878,0.994950,703.10,28.77,0.00
10,0.997916,0.997962,0.997916,0.997927,701.12,28.77,0.00
11,0.992356,0.993011,0.992356,0.992513,703.54,28.77,0.00
12,0.994931,0.995223,0.994931,0.995001,697.61,28.77,0.00
13,0.997423,0.997429,0.997423,0.997404,700.09,28.77,0.00
14,0.987954,0.989522,0.987954,0.988337,702.20,28.77,0.00
15,0.992024,0.992737,0.992024,0.992195,703.67,28.77,0.00
16,0.995017,0.995305,0.995017,0.995086,698.93,28.77,0.00
17,0.998619,0.998635,0.998619,0.998623,700.20,28.77,0.00
18,0.999901,0.999901,0.999901,0.999901,699.19,28.77,0.00
19,0.995943,0.996132,0.995943,0.995988,700.78,28.77,0.00
20,0.999904,0.999904,0.999904,0.999904,700.60,28.77,0.00
21,0.999907,0.999907,0.999907,0.999907,698.02,28.77,0.00
22,0.998631,0.998651,0.998631,0.998636,697.33,28.77,0.00
23,0.998091,0.998088,0.998091,0.998084,708.59,28.77,0.00
24,0.999051,0.999060,0.999051,0.999053,695.95,28.77,0.00
25,0.999866,0.999866,0.999866,0.999866,702.34,28.77,0.00
26,0.993586,0.994029,0.993586,0.993694,695.35,28.77,0.00
27,0.995443,0.995675,0.995443,0.995499,705.23,28.77,0.00
28,0.995970,0.996154,0.995970,0.996013,693.47,28.77,0.00
29,0.995931,0.996122,0.995931,0.995976,697.99,28.77,0.00
30,0.996285,0.996431,0.996285,0.996320,700.27,28.77,0.00
