Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.950555,0.969379,0.950555,0.955732,699.05,28.77,0.00
2,0.981603,0.981224,0.981603,0.981340,695.02,28.77,0.00
3,0.992441,0.993068,0.992441,0.992593,700.16,28.77,0.00
4,0.986690,0.986999,0.986690,0.986812,691.02,28.77,0.00
5,0.986105,0.986097,0.986105,0.986101,687.81,28.77,0.00
6,0.975975,0.977488,0.975975,0.976535,691.68,28.77,0.00
7,0.987812,0.988299,0.987812,0.987981,685.54,28.77,0.00
8,0.987444,0.987319,0.987444,0.987367,688.88,28.77,0.00
9,0.972341,0.973734,0.972341,0.972896,688.15,28.77,0.00
10,0.974865,0.976590,0.974865,0.975498,690.13,28.77,0.00
11,0.971842,0.972757,0.971842,0.972232,684.91,28.77,0.00
12,0.982105,0.981819,0.982105,0.981926,685.93,28.77,0.00
13,0.984116,0.983775,0.984116,0.983810,689.19,28.77,0.00
14,0.991271,0.991245,0.991271,0.991257,691.34,28.77,0.00
15,0.994480,0.994803,0.994480,0.994559,692.91,28.77,0.00
16,0.993947,0.994321,0.993947,0.994040,690.96,28.77,0.00
17,0.990729,0.991691,0.990729,0.990961,691.71,28.77,0.00
18,0.995603,0.995821,0.995603,0.995655,687.85,28.77,0.00
19,0.999842,0.999842,0.999842,0.999842,689.22,28.77,0.00
20,0.995044,0.995323,0.995044,0.995111,689.40,28.77,0.00
21,0.999566,0.999567,0.999566,0.999566,683.22,28.77,0.00
22,0.995312,0.995564,0.995312,0.995372,689.24,28.77,0.00
23,0.997197,0.997287,0.997197,0.997218,682.65,28.77,0.00
24,0.998405,0.998432,0.998405,0.998412,682.17,28.77,0.00
25,0.992507,0.993111,0.992507,0.992654,687.03,28.77,0.00
26,0.986460,0.988396,0.986460,0.986937,687.43,28.77,0.00
27,0.994118,0.994490,0.994118,0.994208,689.99,28.77,0.00
28,0.992936,0.993473,0.992936,0.993067,684.90,28.77,0.00
29,0.995040,0.995321,0.995040,0.995107,684.54,28.77,0.00
30,0.994778,0.995084,0.994778,0.994852,687.72,28.77,0.00
