Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.087369,0.007633,0.087369,0.014040,1063.98,20.85,186.27
2,0.180664,0.094174,0.180664,0.079398,1079.13,20.85,189.47
3,0.143869,0.130139,0.143869,0.066310,1078.97,20.85,189.38
4,0.309312,0.248963,0.309312,0.235161,1063.34,20.85,186.66
5,0.160220,0.140619,0.160220,0.125335,1080.28,20.85,189.66
6,0.229006,0.395826,0.229006,0.148719,1076.91,20.85,189.05
7,0.419295,0.299720,0.419295,0.285394,1065.53,20.85,186.73
8,0.521962,0.464159,0.521962,0.428688,1079.34,20.85,189.40
9,0.618671,0.567247,0.618671,0.546210,1078.53,20.85,189.49
10,0.703454,0.655177,0.703454,0.635046,1064.72,20.85,186.83
11,0.695417,0.629965,0.695417,0.620315,1078.75,20.85,189.37
12,0.708711,0.685409,0.708711,0.658013,1078.60,20.85,189.27
13,0.640594,0.710707,0.640594,0.577222,1077.23,20.85,189.30
14,0.602300,0.789439,0.602300,0.507934,1068.59,20.85,187.28
15,0.814696,0.850319,0.814696,0.763095,1080.08,20.85,189.85
16,0.732159,0.713790,0.732159,0.654105,1064.82,20.85,186.88
17,0.836422,0.879314,0.836422,0.785657,1073.96,20.85,188.70
18,0.796015,0.837947,0.796015,0.743018,1078.27,20.85,189.42
19,0.755078,0.781197,0.755078,0.687683,1077.42,20.85,189.45
20,0.537976,0.518684,0.537976,0.429169,1065.94,20.85,186.80
21,0.551384,0.758491,0.551384,0.480893,1078.28,20.85,189.40
22,0.749411,0.826582,0.749411,0.673217,1079.80,20.85,189.45
23,0.841730,0.896205,0.841730,0.790968,1076.47,20.85,188.85
24,0.780475,0.857070,0.780475,0.721426,1065.17,20.85,186.75
25,0.805740,0.789035,0.805740,0.756038,1077.31,20.85,189.25
26,0.796281,0.882608,0.796281,0.741923,1077.85,20.85,189.44
27,0.748356,0.827194,0.748356,0.670699,1065.26,20.85,186.77
28,0.636794,0.819529,0.636794,0.558154,1064.42,20.85,186.63
29,0.759478,0.838928,0.759478,0.711537,1076.35,20.85,189.14
30,0.841531,0.869230,0.841531,0.790817,1078.28,20.85,189.60

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.756488,0.068143
precision,0.847498,0.024384
recall,0.756488,0.068143
f1,0.694626,0.078706
comm_mb,20.845070,0.000000
model_size_mb,2.08,
client_samples,958587.0,363433.6
