Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.311554,0.290010,0.311554,0.247513,2514.29,8.09,472.27
2,0.535457,0.532457,0.535457,0.406763,2515.89,8.09,472.51
3,0.598329,0.500544,0.598329,0.482778,2518.61,8.09,473.22
4,0.685150,0.670089,0.685150,0.629550,2519.50,8.09,473.42
5,0.663105,0.678675,0.663105,0.562205,2519.32,8.09,473.21
6,0.739279,0.699351,0.739279,0.660834,2522.29,8.09,474.63
7,0.780979,0.725045,0.780979,0.718293,2533.61,8.09,475.55
8,0.852736,0.921241,0.852736,0.803407,2528.84,8.09,475.89
9,0.814320,0.854577,0.814320,0.764919,2527.40,8.09,475.72
10,0.785530,0.841562,0.785530,0.724742,2526.54,8.09,475.95
11,0.740973,0.839713,0.740973,0.655860,2526.23,8.09,475.65
12,0.848161,0.868769,0.848161,0.798862,2527.10,8.09,475.84
13,0.847110,0.883300,0.847110,0.797864,2529.46,8.09,475.82
14,0.758638,0.796711,0.758638,0.679759,2528.95,8.09,475.90
15,0.789441,0.834930,0.789441,0.735623,2529.65,8.09,476.11
16,0.835200,0.875256,0.835200,0.786079,2529.72,8.09,475.92
17,0.835193,0.890443,0.835193,0.785965,2530.59,8.09,475.89
18,0.755496,0.828323,0.755496,0.671847,2530.72,8.09,476.19
19,0.755808,0.832342,0.755808,0.672239,2530.69,8.09,475.92
20,0.768783,0.833673,0.768783,0.697042,2529.51,8.09,476.07
21,0.748353,0.796543,0.748353,0.657192,2535.28,8.09,476.62
22,0.790280,0.857456,0.790280,0.742226,2533.13,8.09,476.89
23,0.750547,0.815607,0.750547,0.660390,2527.49,8.09,476.26
24,0.742578,0.809832,0.742578,0.652415,2526.16,8.09,475.20
25,0.750342,0.836054,0.750342,0.660221,2529.54,8.09,475.91
26,0.854582,0.877757,0.854582,0.805275,2524.71,8.09,475.58
27,0.751728,0.807281,0.751728,0.663194,2524.74,8.09,475.14
28,0.758598,0.820210,0.758598,0.677616,2523.12,8.09,475.11
29,0.847760,0.880746,0.847760,0.798379,2518.69,8.09,474.50
30,0.852972,0.874114,0.852972,0.803651,2524.28,8.09,475.15

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.813128,0.047432
precision,0.852022,0.031589
recall,0.813128,0.047432
f1,0.749623,0.064882
comm_mb,8.091164,0.000000
model_size_mb,0.81,
client_samples,958587.0,240341.8
