Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.450543,0.520395,0.450543,0.391792,2511.79,8.09,472.85
2,0.614340,0.632190,0.614340,0.570132,2515.35,8.09,473.38
3,0.690375,0.652885,0.690375,0.600653,2514.53,8.09,473.03
4,0.706531,0.719180,0.706531,0.616576,2513.15,8.09,473.03
5,0.688117,0.696021,0.688117,0.613087,2512.64,8.09,473.07
6,0.711742,0.755341,0.711742,0.624090,2512.65,8.09,473.04
7,0.722093,0.762571,0.722093,0.633649,2513.99,8.09,473.04
8,0.733503,0.793978,0.733503,0.650733,2513.24,8.09,472.96
9,0.735230,0.758856,0.735230,0.645582,2512.73,8.09,473.00
10,0.754029,0.793115,0.754029,0.670772,2514.07,8.09,473.01
11,0.747564,0.815840,0.747564,0.656255,2514.10,8.09,473.12
12,0.744246,0.825115,0.744246,0.653026,2523.74,8.09,474.51
13,0.744774,0.816289,0.744774,0.654518,2530.09,8.09,475.76
14,0.752150,0.830310,0.752150,0.664342,2510.03,8.09,472.65
15,0.741437,0.805592,0.741437,0.652722,2508.84,8.09,472.63
16,0.750706,0.819391,0.750706,0.662021,2508.19,8.09,472.50
17,0.821428,0.868240,0.821428,0.770218,2506.01,8.09,472.35
18,0.748928,0.824911,0.748928,0.658560,2507.70,8.09,472.34
19,0.749637,0.842033,0.749637,0.659126,2508.40,8.09,472.36
20,0.747198,0.835137,0.747198,0.657255,2508.63,8.09,472.45
21,0.831535,0.894764,0.831535,0.781346,2507.28,8.09,472.25
22,0.764481,0.834044,0.764481,0.689347,2506.64,8.09,472.29
23,0.824936,0.879012,0.824936,0.774123,2507.84,8.09,472.35
24,0.750472,0.848418,0.750472,0.660730,2507.43,8.09,472.29
25,0.822863,0.884115,0.822863,0.771817,2516.14,8.09,473.00
26,0.823665,0.884566,0.823665,0.772743,2517.44,8.09,473.33
27,0.823592,0.880430,0.823592,0.772623,2516.80,8.09,473.35
28,0.774009,0.861860,0.774009,0.707934,2517.80,8.09,473.39
29,0.821654,0.883083,0.821654,0.770877,2518.78,8.09,473.59
30,0.816770,0.879573,0.816770,0.764797,2519.64,8.09,473.70

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.811938,0.019130
precision,0.877902,0.008219
recall,0.811938,0.019130
f1,0.757795,0.025098
comm_mb,8.091164,0.000000
model_size_mb,0.81,
client_samples,958591.6,0.5
