Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.350095,0.152369,0.350095,0.202687,2885.72,45.59,521.34
2,0.621199,0.557832,0.621199,0.567733,2886.03,45.59,521.13
3,0.650268,0.613236,0.650268,0.594046,2884.40,45.59,521.06
4,0.758186,0.682177,0.758186,0.705139,2885.55,45.59,521.28
5,0.728525,0.681619,0.728525,0.680097,2885.14,45.59,521.22
6,0.729192,0.687137,0.729192,0.680858,2885.03,45.59,521.41
7,0.729597,0.689001,0.729597,0.647012,2885.50,45.59,521.23
8,0.765716,0.699866,0.765716,0.715832,2886.13,45.59,521.27
9,0.739443,0.842282,0.739443,0.659651,2884.65,45.59,521.16
10,0.692421,0.673242,0.692421,0.642638,2885.24,45.59,520.90
11,0.805966,0.846937,0.805966,0.754800,2883.83,45.59,520.95
12,0.798313,0.842781,0.798313,0.744512,2882.84,45.59,520.77
13,0.817905,0.875220,0.817905,0.766345,2885.92,45.59,521.09
14,0.762322,0.868272,0.762322,0.712786,2883.78,45.59,520.99
15,0.802446,0.838323,0.802446,0.751747,2883.27,45.59,520.91
16,0.713065,0.822421,0.713065,0.662493,2883.11,45.59,520.84
17,0.781632,0.853046,0.781632,0.722259,2881.02,45.59,520.63
18,0.754217,0.844140,0.754217,0.679603,2882.35,45.59,520.71
19,0.792919,0.833727,0.792919,0.739527,2881.15,45.59,520.70
20,0.767027,0.823404,0.767027,0.701503,2880.92,45.59,520.36
21,0.737529,0.806858,0.737529,0.688902,2880.60,45.59,520.36
22,0.807369,0.851351,0.807369,0.757150,2880.44,45.59,520.58
23,0.805698,0.854475,0.805698,0.752448,2881.42,45.59,520.57
24,0.745897,0.816449,0.745897,0.665518,2882.43,45.59,520.57
25,0.838150,0.878145,0.838150,0.787338,2882.58,45.59,520.49
26,0.774774,0.828810,0.774774,0.712448,2883.51,45.59,520.81
27,0.761947,0.820276,0.761947,0.694198,2883.39,45.59,520.86
28,0.776187,0.829285,0.776187,0.714830,2885.90,45.59,521.09
29,0.834793,0.876160,0.834793,0.783939,2883.28,45.59,520.85
30,0.820780,0.868161,0.820780,0.769316,2885.45,45.59,520.96

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.793696,0.028619
precision,0.844538,0.022920
recall,0.793696,0.028619
f1,0.734946,0.035079
comm_mb,45.591164,0.000000
model_size_mb,4.56,
client_samples,958587.0,592058.8
