Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.232580,0.375540,0.232580,0.170039,2607.95,8.09,513.47
2,0.432157,0.378753,0.432157,0.332290,2596.83,8.09,511.20
3,0.534636,0.528842,0.534636,0.455337,2608.12,8.09,513.61
4,0.708446,0.817097,0.708446,0.621953,2598.62,8.09,511.53
5,0.723480,0.835573,0.723480,0.643061,2609.69,8.09,513.91
6,0.727842,0.801852,0.727842,0.655936,2597.34,8.09,511.42
7,0.734828,0.807047,0.734828,0.653928,2608.21,8.09,513.73
8,0.743003,0.800237,0.743003,0.661569,2598.37,8.09,511.54
9,0.735897,0.806180,0.735897,0.655326,2609.33,8.09,513.86
10,0.745485,0.831386,0.745485,0.664475,2597.71,8.09,511.50
11,0.750847,0.828274,0.750847,0.669396,2610.13,8.09,513.98
12,0.763265,0.803614,0.763265,0.694608,2597.94,8.09,511.38
13,0.759570,0.851390,0.759570,0.680126,2610.41,8.09,514.19
14,0.815741,0.877572,0.815741,0.764312,2598.82,8.09,511.64
15,0.764193,0.855333,0.764193,0.683815,2610.97,8.09,514.11
16,0.763296,0.851951,0.763296,0.680096,2605.89,8.09,513.18
17,0.776294,0.868054,0.776294,0.701319,2598.55,8.09,511.50
18,0.766219,0.861843,0.766219,0.684469,2608.74,8.09,513.82
19,0.774560,0.860865,0.774560,0.698919,2599.36,8.09,511.71
20,0.755400,0.846914,0.755400,0.674614,2612.50,8.09,514.42
21,0.797627,0.878177,0.797627,0.738292,2598.64,8.09,511.63
22,0.845154,0.906517,0.845154,0.799078,2611.53,8.09,514.30
23,0.768625,0.862774,0.768625,0.686070,2600.72,8.09,511.96
24,0.759767,0.857666,0.759767,0.681465,2609.49,8.09,513.90
25,0.770833,0.860326,0.770833,0.687793,2597.70,8.09,511.42
26,0.779839,0.867151,0.779839,0.706780,2608.53,8.09,513.75
27,0.752747,0.828727,0.752747,0.680556,2598.18,8.09,511.44
28,0.778338,0.866515,0.778338,0.705450,2608.45,8.09,513.67
29,0.766584,0.861884,0.766584,0.685938,2596.83,8.09,511.26
30,0.770171,0.865283,0.770171,0.688703,2609.39,8.09,513.88

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.769536,0.009743
precision,0.857912,0.014706
recall,0.769536,0.009743
f1,0.693485,0.010648
comm_mb,8.093643,0.000000
model_size_mb,0.81,
client_samples,1041063.0,380579.1
