Dataset,Experiment,Mode,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Comm_MB_Mean,Comm_MB_Std,Stage1_Acc,Stage1_F1,Stage2_Acc,Stage2_F1,Log_File
Nba-IoT,single_stage_mamba,single_stage,0.769536,0.009743,0.857912,0.014706,0.769536,0.009743,0.693485,0.010648,8.09,0.00,,,,,ablation_Nba-IoT_single_mamba_dirichlet.csv
Nba-IoT,two_stage_resnet_mamba,two_stage,0.811968,0.047443,0.890224,0.031700,0.811968,0.047443,0.748195,0.065141,8.09,0.00,0.994005,0.994100,0.811968,0.748195,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s1_resnet,two_stage,0.754914,0.058362,0.797123,0.063811,0.754914,0.058362,0.680392,0.077570,8.09,0.00,0.995567,0.995524,0.754914,0.680392,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s1_mlp,two_stage,0.765707,0.042302,0.791399,0.034367,0.765707,0.042302,0.695702,0.054250,8.09,0.00,0.998491,0.998485,0.765707,0.695702,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s1_cnn,two_stage,0.807418,0.039127,0.864608,0.020950,0.807418,0.039127,0.746085,0.052797,8.09,0.00,0.998400,0.998429,0.807418,0.746085,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s1_lstm,two_stage,0.737040,0.018492,0.774575,0.012103,0.737040,0.018492,0.656571,0.025600,8.09,0.00,0.883103,0.903761,0.737040,0.656571,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s2_mamba,two_stage,0.753869,0.039062,0.769977,0.043604,0.753869,0.039062,0.672670,0.054342,8.09,0.00,0.992688,0.992477,0.753869,0.672670,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,s2_mlp,two_stage,0.755012,0.001684,0.843143,0.004995,0.755012,0.001684,0.670367,0.003605,2.76,0.00,0.996510,0.996548,0.755012,0.670367,ablation_Nba-IoT_s2_mlp_dirichlet.csv
Nba-IoT,s2_cnn,two_stage,0.806706,0.070676,0.888485,0.027570,0.806706,0.070676,0.751025,0.080550,4.83,0.00,0.995888,0.995946,0.806706,0.751025,ablation_Nba-IoT_s2_cnn_dirichlet.csv
Nba-IoT,s2_lstm,two_stage,0.756488,0.068143,0.847498,0.024384,0.756488,0.068143,0.694626,0.078706,20.85,0.00,0.995001,0.995111,0.756488,0.694626,ablation_Nba-IoT_s2_lstm_dirichlet.csv
Nba-IoT,s2_transformer,two_stage,0.793696,0.028619,0.844538,0.022920,0.793696,0.028619,0.734946,0.035079,45.59,0.00,0.928817,0.900184,0.793696,0.734946,ablation_Nba-IoT_s2_transformer_dirichlet.csv
Nba-IoT,partition_iid,two_stage,0.811938,0.019130,0.877902,0.008219,0.811938,0.019130,0.757795,0.025098,8.09,0.00,0.992666,0.992834,0.811938,0.757795,ablation_Nba-IoT_s2_mamba_iid.csv
Nba-IoT,partition_dirichlet_0.1,two_stage,0.754449,0.029568,0.825190,0.039119,0.754449,0.029568,0.703430,0.032767,8.09,0.00,0.948943,0.937163,0.754449,0.703430,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,partition_dirichlet_0.5,two_stage,0.766942,0.025345,0.719951,0.014264,0.766942,0.025345,0.689714,0.038137,8.09,0.00,0.992296,0.992465,0.766942,0.689714,ablation_Nba-IoT_s2_mamba_dirichlet.csv
Nba-IoT,partition_dirichlet_1.0,two_stage,0.813128,0.047432,0.852022,0.031589,0.813128,0.047432,0.749623,0.064882,8.09,0.00,0.995443,0.995501,0.813128,0.749623,ablation_Nba-IoT_s2_mamba_dirichlet.csv
